ShowID,Type,Title,Director,Cast,Country,DateAdded,ReleaseYear,Rating,Duration,ListedIn,Description
S00012,TV Show,Ancient Secrets,Omar Hernandez,"Sarah Zhao, Amanda Huang, George Watanabe, Dorothy Moore",United Kingdom,2022-07-15,2023,TV-PG,4 Seasons,Action Drama,A mysterious stranger arrives and changes everything.
S00013,TV Show,The Dark Falling,Jean Park,"Robert White, James Kumar, Robert Shah, Donald Walker, Michelle Wu",Philippines,2022-01-04,2018,TV-G,2 Seasons,Noir,A detective uncovers a conspiracy that goes deeper than imagined.
S00014,TV Show,The Storm Mountain,Isabella Yang,"Steven Gonzalez, Hiro Huang, John Gupta",Poland,2024-04-10,2019,TV-G,5 Seasons,Western,Love and betrayal intertwine in unexpected ways.
S00015,TV Show,Deadly Fire,Robert Martinez,"Ingrid Kang, Valentina Sharma, Richard Young",United Kingdom,2022-03-05,2019,TV-G,3 Seasons,Drama,"Power corrupts, but some fight to stay pure."
S00016,TV Show,The Nightmare Days,Susan Meyer,"Ahmed Becker, Betty Watanabe, Edward Wagner",France,2024-10-08,2022,TV-14,3 Seasons,Drama,"In a world of chaos, heroes emerge from unlikely places."
S00017,TV Show,The Heart Myths,Paul Lee,"Ingrid Ito, Juan Kang, James Rodriguez",United States,2024-06-13,2022,TV-PG,5 Seasons,Medical Drama,The search for identity leads to unexpected discoveries.
S00018,TV Show,Last Fires,Margaret Hernandez,"Kimberly Ito, Susan Wang, Jennifer Brown",United Kingdom,2022-09-28,2019,TV-PG,1 Season,Documentary,Revenge is a dish best served cold.
S00019,TV Show,Secret Road,Erik Huang,"Marie Lewis, Matthew Wang, Hiro Costa",Sweden,2024-04-25,2021,TV-Y7,1 Season,Comedy,An epic story of courage and sacrifice.
S00020,TV Show,The Hunt Mind,Brian Liu,"Kevin Wilson, Min Schmidt, Omar Gupta, Ashley Liu, Raj Taylor",Switzerland,2020-11-22,2022,TV-14,6 Seasons,Drama,"The truth will set you free, or destroy you."
S00021,TV Show,The Shadow Dream,Pedro Jones,"Valentina Young, Sarah Garcia, Min Clark, Susan Santos",Germany,2020-05-10,2019,TV-G,3 Seasons,Thriller,A race against time to save what matters most.
S00022,Movie,Silver Kings,Melissa Kumar,"Min Ramirez, Valentina Miller, Patricia Moore, Chen Yoon",India,2021-01-18,2018,PG,146 min,Historical Drama,A family's dark secrets are finally revealed.
S00023,TV Show,The Perfect Hours,Robert Sharma,"Edward Wilson, Andrew Jung, John Clark, Lars Garcia",Brazil,2022-07-12,2019,TV-Y,5 Seasons,Teen Drama,"The truth will set you free, or destroy you."
S00024,TV Show,The Island Edges,Li Wang,"Amanda Meyer, William Zhang, Donald Cho, Chen Clark",India,2024-12-29,2024,TV-14,5 Seasons,Psychological Thriller,Two worlds collide with devastating consequences.
S00025,Movie,Mind Demons,Daniel Alves,"Joseph Gonzalez, Omar Taylor, Chen White, Min Miller, Omar Harris",United Kingdom,2024-05-28,2020,R,177 min,Crime Drama,"In the end, love conquers all."
S00026,TV Show,The Lies Mysteries,Joshua Takahashi,"Margaret Perez, Barbara White, Patricia Thompson, Susan Yang, Fatima Gonzalez",Canada,2020-04-12,2021,TV-Y7,4 Seasons,Family Drama,A journey of self-discovery and transformation.
S00027,TV Show,The Wild Golden,Min Smith,"Amanda Choi, Sakura Santos, Patricia Jackson, Pedro Taylor, Michelle Davis",Indonesia,2020-01-01,2020,TV-Y,8 Seasons,Family Drama,"When the stakes are high, who can you trust?"
S00028,Movie,The Future Valley,Susan Lewis,"Valentina Zhao, Ashley Takahashi, Barbara Alves, Deborah Meyer",Japan,2024-02-19,2022,R,157 min,Psychological Thriller,Love and betrayal intertwine in unexpected ways.
S00029,TV Show,The Blue Seasons,Fatima Johnson,"Nancy Brown, Sophie Gonzalez, Donna Fernandez, Elizabeth Miller",Colombia,2024-07-01,2021,TV-MA,8 Seasons,Teen Drama,The search for identity leads to unexpected discoveries.
S00030,TV Show,Water Secret,David Kim,"Arjun Gonzalez, Emily Huang, Akira Zhao, Sofia Watanabe",Japan,2023-05-19,2021,TV-14,3 Seasons,Drama,Love and betrayal intertwine in unexpected ways.
S00031,Movie,Water Earth,William Sousa,"John Ito, Betty Yang, Paul Jung, Amanda Yang",United States,2023-06-20,2020,PG-13,95 min,Legal Drama,Love and betrayal intertwine in unexpected ways.
S00032,TV Show,The Red Hunters,Kenneth Takahashi,"David Yang, Mark Anderson, Jennifer Mueller, Sandra Meyer",United Kingdom,2023-06-13,2019,TV-Y,2 Seasons,Thriller,A mysterious stranger arrives and changes everything.
S00033,TV Show,The Dawn Ends,Aisha Sousa,"Isabella Moore, Astrid Thompson, Jean Wagner, Akira Shah",United States,2022-09-10,2022,TV-MA,7 Seasons,Noir,"Power corrupts, but some fight to stay pure."
S00034,TV Show,Ancient Rising,Elizabeth Williams,"Chen Ribeiro, Lars Lewis, Ashley Jackson, Dorothy Thompson, Kevin Brown",Japan,2021-12-16,2023,TV-Y,2 Seasons,Mystery,A journey of self-discovery and transformation.
S00035,Movie,Empire Road,Jean Clark,"Kevin Suzuki, Robert Oliveira, Andrew Wang",Japan,2021-10-06,2024,PG,151 min,Musical Drama,"Power corrupts, but some fight to stay pure."
S00036,TV Show,Broken Kingdom,Isabella Takahashi,"Andrew Hernandez, Erik Walker, Ana Anderson, Wei Sharma, Elizabeth Jackson",Brazil,2021-02-27,2024,TV-MA,4 Seasons,Adventure,"Power corrupts, but some fight to stay pure."
S00037,TV Show,Nightmare Angels,Robert Moore,"Wei Khan, Robert Yang, Omar Cho, Carlos Robinson",United Kingdom,2024-10-08,2018,TV-G,6 Seasons,Sports Drama,"In a world of chaos, heroes emerge from unlikely places."
S00038,Movie,Hate Secrets,Chen Young,"Miguel Thomas, Deborah Young, Michelle Perez, William Hernandez",South Korea,2022-08-24,2023,R,159 min,Action Drama,Love and betrayal intertwine in unexpected ways.
S00039,TV Show,The Hate Twilights,Daniel Davis,"Yuki Tanaka, Jennifer Thomas, Valentina Thomas, Arjun Smith",India,2020-12-21,2024,TV-14,8 Seasons,Action & Adventure,"The truth will set you free, or destroy you."
S00040,TV Show,The Perfect Deaths,Fatima Garcia,"Thomas Johnson, Donald Gupta, Arjun Yamamoto, Kimberly Thompson, Mark Meyer",United States,2024-07-12,2018,TV-G,4 Seasons,Legal Drama,Love and betrayal intertwine in unexpected ways.
S00041,TV Show,Search Twilights,William Lewis,"Thomas Lee, Yuki Fischer, Robert Singh, Min Mueller",Germany,2021-01-18,2024,TV-Y,7 Seasons,Noir,A race against time to save what matters most.
S00042,Movie,Nightmare Friends,Steven Schneider,"Deborah Harris, Fatima Tanaka, Pedro Hernandez",United States,2021-12-27,2022,G,153 min,Musical Drama,Two worlds collide with devastating consequences.
S00043,Movie,The Sacred Heroes,Min Oliveira,"Deborah White, Joseph Wilson, Wei Perez, Joseph Gonzalez, Brian Ramirez",Spain,2023-01-28,2024,R,155 min,Noir,"In a world of chaos, heroes emerge from unlikely places."
S00044,Movie,The Path Red,William Meyer,"David Khan, Ana Kumar, Robert Anderson, Carol Lee, Deborah Kim",United Kingdom,2020-11-08,2022,NC-17,152 min,Crime Drama,A race against time to save what matters most.
S00045,TV Show,The Fear Lies,Isabella Williams,"Ashley Sousa, Yuki Wang, Kimberly Hernandez, Linda Santos, Kenneth Schmidt",United States,2023-06-02,2020,TV-MA,1 Season,Comedy,The search for identity leads to unexpected discoveries.
S00046,Movie,Island Hidden,Ana Yoon,"Ana Sousa, Susan Walker, Daniel Zhao, George Shah",United States,2023-03-27,2022,G,177 min,Horror,Revenge is a dish best served cold.
S00047,TV Show,Hidden Tigers,Sophie Ramirez,"Jessica Young, George Zhang, Mark Yoon, Pedro Wilson, Deepika Ramirez",United States,2021-09-22,2020,TV-G,5 Seasons,Thriller,An epic story of courage and sacrifice.
S00048,TV Show,The Silent Sunrises,Nancy Kumar,"Joseph Lee, Yuki Tanaka, Omar Gonzalez, Daniel Williams",United States,2021-03-26,2021,TV-PG,3 Seasons,Romance,Two worlds collide with devastating consequences.
S00049,Movie,The Empire Myths,Chen Suzuki,"Sandra Mueller, Robert Sato, Wei Kumar",Canada,2024-05-04,2020,R,124 min,Medical Drama,"In the end, love conquers all."
S00050,TV Show,The Silent Broken,David Thomas,"Astrid Yang, Marie Thomas, Andrew Takahashi",France,2020-07-28,2021,TV-Y,7 Seasons,Action Drama,"In the end, love conquers all."
S00051,Movie,The Deadly Nights,Elizabeth Thomas,"Edward Mueller, Fatima Kang, Joshua Garcia",France,2020-12-24,2018,PG,88 min,Fantasy,A family's dark secrets are finally revealed.
S00052,TV Show,Light Memories,William Suzuki,"Linda Khan, Aisha Zhao, Yuki Wagner",United States,2021-12-26,2022,TV-Y,3 Seasons,Comedy Drama,Revenge is a dish best served cold.
S00053,TV Show,The White Friends,Raj Choi,"Brian Clark, Sofia Nakamura, Paul Garcia",Canada,2022-05-05,2020,TV-Y7,2 Seasons,Drama,A mysterious stranger arrives and changes everything.
S00054,Movie,The Mind Kings,Emily Ribeiro,"James Yang, John Zhao, Sarah Martinez",United States,2022-06-03,2023,NC-17,155 min,Medical Drama,Two worlds collide with devastating consequences.
S00055,Movie,The Dream Lions,Kenneth Thomas,"Andrew Zhao, Kevin Moore, Priya White",Italy,2023-11-27,2022,R,128 min,Legal Drama,"In a world of chaos, heroes emerge from unlikely places."
S00056,TV Show,The Blood Lives,Akira Singh,"Robert Liu, Priya Santos, Michelle Taylor",Netherlands,2020-08-29,2019,TV-MA,3 Seasons,Action & Adventure,The past comes back to haunt the present.
S00057,TV Show,Battle Quest,Anthony Watanabe,"Priya Lewis, Edward Schmidt, Joseph Singh, Chen Fernandez",Canada,2021-01-12,2022,TV-PG,2 Seasons,Horror,A mysterious stranger arrives and changes everything.
S00058,Movie,The Broken Hunters,Ingrid Weber,"William Fernandez, Kimberly Wagner, Marie Shah, Sandra Jung",United States,2020-10-16,2024,G,163 min,Political Thriller,Love and betrayal intertwine in unexpected ways.
S00059,TV Show,The Dawn Final,Linda Patel,"Betty Jackson, Arjun Yoon, Richard Lewis, Nancy Moore, Susan Miller",United States,2024-09-18,2021,TV-14,7 Seasons,Teen Drama,A family's dark secrets are finally revealed.
S00060,TV Show,The Search White,Marie Lewis,"Richard Thomas, Linda Thomas, Elizabeth Taylor, Priya Khan, Ashley Thompson",Germany,2022-04-27,2018,TV-Y,8 Seasons,Documentary,A family's dark secrets are finally revealed.
S00061,TV Show,The Sky Hope,Edward Watanabe,"Raj Yamamoto, Elizabeth Park, Paul Sanchez, Dorothy Martinez, Robert Oliveira",United States,2022-01-25,2018,TV-Y,6 Seasons,Action Drama,An unexpected journey changes everything.
S00062,TV Show,Past Path,Linda Ito,"Chen Wu, Thomas Miller, Robert Liu, Sofia Gonzalez, Ingrid Williams",United States,2022-04-03,2024,TV-Y,3 Seasons,Historical Drama,"When the stakes are high, who can you trust?"
S00063,TV Show,The White Lies,Steven Suzuki,"Lars Martinez, Li Lee, Thomas Fernandez, Deborah Schneider",United States,2021-02-03,2018,TV-G,3 Seasons,Documentary,"Power corrupts, but some fight to stay pure."
S00064,Movie,The Black Heroes,Melissa Park,"Miguel Khan, Miguel Lewis, Deborah Nakamura, Deborah Shah",Canada,2024-01-25,2022,PG,161 min,Family Drama,Revenge is a dish best served cold.
S00065,Movie,The Throne Storm,Donna Alves,"Matthew Becker, Andrew Harris, Linda Smith, Yuki Lee, Kimberly Wagner",United Kingdom,2021-07-08,2018,G,142 min,Action Drama,An unexpected journey changes everything.
S00066,TV Show,The Search Knights,Margaret Hernandez,"Astrid Ribeiro, Paul Sato, Juan Sousa, Joseph Davis, Jean Cho",United States,2024-10-30,2021,TV-Y7,7 Seasons,Romance,A mysterious stranger arrives and changes everything.
S00067,TV Show,The Mind Princesses,Joseph Robinson,"David Patel, Susan Thompson, Fatima Chen",United States,2023-08-25,2019,TV-Y7,4 Seasons,Western,"The truth will set you free, or destroy you."
S00068,Movie,River Lights,Amanda Kang,"Steven Takahashi, Betty Moore, Marie Hernandez, Susan Ito",United States,2024-08-01,2020,PG,152 min,Historical Drama,A gripping tale of survival and redemption.
S00069,TV Show,Earth Mysteries,Linda Liu,"Brian Costa, Yuki Yang, Pedro Oliveira, Sophie Sharma",United States,2023-02-17,2022,TV-G,6 Seasons,Teen Drama,An unexpected journey changes everything.
S00070,Movie,Mind Princesses,Omar Perez,"Betty Sousa, Priya Oliveira, Anthony Lewis",United States,2024-05-05,2024,R,148 min,Political Thriller,"Power corrupts, but some fight to stay pure."
S00071,Movie,Fear Battle,Michelle Huang,"Kenneth Sharma, Aisha Miller, Nancy Patel, George Young",Turkey,2020-12-02,2019,PG,148 min,Political Thriller,A detective uncovers a conspiracy that goes deeper than imagined.
S00072,Movie,Mind Black,Kimberly Lee,"Carol Young, Deborah Schneider, Melissa Sousa",Turkey,2020-11-04,2021,R,161 min,Medical Drama,"When the stakes are high, who can you trust?"
S00073,Movie,The Earth Lights,Sakura Tanaka,"Sofia Sato, Mark Lee, Richard Thomas, Chen Mueller, Thomas Kumar",United Kingdom,2024-10-15,2023,NC-17,170 min,Mystery,The search for identity leads to unexpected discoveries.
S00074,TV Show,Journey Dawn,Melissa Jung,"Kimberly Wu, Kimberly Fischer, Ana Gonzalez",India,2021-09-12,2019,TV-Y,1 Season,Action Drama,A gripping tale of survival and redemption.
S00075,Movie,The Hope Memories,Paul Wu,"Lars Kumar, Joseph Watanabe, Fatima Costa, Matthew Sousa, Raj Oliveira",Canada,2022-04-17,2021,R,141 min,Mystery,A mysterious stranger arrives and changes everything.
S00076,TV Show,The Love Secrets,Sofia Perez,"Nancy Zhang, Min Zhang, Robert Huang",Mexico,2023-09-30,2021,TV-PG,5 Seasons,Psychological Thriller,Revenge is a dish best served cold.
S00077,TV Show,The Kingdom Island,Dorothy Jackson,"Chen Costa, Ana Thomas, William Becker",Japan,2023-11-28,2019,TV-PG,1 Season,Noir,A gripping tale of survival and redemption.
S00078,TV Show,Golden Blood,Min Khan,"Ahmed Schneider, Joseph Becker, Ingrid Davis",Japan,2020-09-07,2019,TV-Y7,6 Seasons,Comedy,"When the stakes are high, who can you trust?"
S00079,TV Show,The Blue Blue,Aisha Liu,"Linda Rodriguez, Emily Miller, Jean Chen, Nancy Yoon",Mexico,2023-12-21,2019,TV-14,4 Seasons,Family Drama,"When the stakes are high, who can you trust?"
S00080,TV Show,Soul Strangers,Daniel Hernandez,"Akira Lewis, Kevin Singh, Maria Alves",Indonesia,2021-06-13,2024,TV-MA,3 Seasons,Action Drama,A detective uncovers a conspiracy that goes deeper than imagined.
S00081,TV Show,The Fight Road,Li Schmidt,"Jessica Watanabe, Jean Thompson, Michael Wang",United States,2020-09-21,2021,TV-PG,3 Seasons,Horror,A family's dark secrets are finally revealed.
S00082,TV Show,The Sky Shadow,Ashley Liu,"Valentina Schneider, Jean Miller, Yuki Garcia",India,2022-02-08,2021,TV-PG,3 Seasons,Comedy,"In a world of chaos, heroes emerge from unlikely places."
S00083,TV Show,The Nightmare Warriors,Michael Smith,"Donna Miller, Miguel White, Kenneth Zhao",Spain,2021-02-28,2019,TV-14,1 Season,Musical Drama,The line between right and wrong becomes blurred.
S00084,Movie,Empire City,Amanda Garcia,"Priya Johnson, Steven Kang, Deepika Oliveira, Robert Hernandez, Sofia Wilson",Netherlands,2023-12-25,2024,R,136 min,Teen Drama,A detective uncovers a conspiracy that goes deeper than imagined.
S00085,Movie,Ancient Angels,Juan Huang,"Susan Thomas, Donald Young, Dorothy Jones, Deepika Becker",United States,2020-10-10,2021,R,169 min,Family Drama,"The truth will set you free, or destroy you."
S00086,TV Show,The Golden Soul,Thomas Clark,"Edward Yamamoto, Brian Takahashi, Camila Young, Jessica Rodriguez",United States,2022-02-28,2018,TV-14,5 Seasons,Horror,A race against time to save what matters most.
S00087,Movie,The Blue Wolves,Erik Schneider,"Chen Costa, Hiro Wagner, Melissa Tanaka, Akira Cho, Camila Walker",United Kingdom,2024-01-23,2019,G,150 min,Crime Drama,A journey of self-discovery and transformation.
S00088,Movie,The Shadow Waters,Fatima Park,"Elizabeth Ramirez, Ashley Schmidt, Valentina Takahashi, Carol Thompson",South Korea,2024-12-22,2021,PG-13,102 min,Medical Drama,A mysterious stranger arrives and changes everything.
S00089,Movie,The Dawn Stories,Sofia Patel,"Donald Anderson, Sandra Martinez, Barbara Zhao, Pierre Davis",United States,2024-07-18,2024,NC-17,116 min,Crime Drama,A race against time to save what matters most.
S00090,Movie,White City,Yuki Sharma,"Daniel Martinez, George Alves, Yuki Zhang, Patricia Zhao",Philippines,2023-03-02,2021,G,174 min,Medical Drama,A mysterious stranger arrives and changes everything.
S00091,TV Show,The Mind Red,Arjun Becker,"Amanda Zhao, Wei Yamamoto, Ana Lewis",Japan,2023-10-14,2018,TV-G,7 Seasons,Historical Drama,A journey of self-discovery and transformation.
S00092,TV Show,The Broken Fire,Priya Rodriguez,"Dorothy Nakamura, Deborah Patel, Carol Lewis, Wei Taylor",India,2021-09-11,2022,TV-14,2 Seasons,Teen Drama,A family's dark secrets are finally revealed.
S00093,TV Show,Heart Discovery,Marie Suzuki,"Sofia Miller, Edward Gonzalez, Juan Ribeiro",Spain,2024-12-18,2020,TV-Y,3 Seasons,Legal Drama,Two worlds collide with devastating consequences.
S00094,TV Show,The Island Path,Paul Mueller,"Kevin Khan, Amanda Martinez, Brian Yoon, Sandra Patel, Emily Yoon",South Korea,2020-11-20,2018,TV-PG,5 Seasons,Western,Love and betrayal intertwine in unexpected ways.
S00095,TV Show,Battle Journey,William Fernandez,"Elizabeth Zhang, Ahmed Mueller, Anthony Gonzalez, Sandra Jung",Germany,2024-01-20,2022,TV-Y,1 Season,Fantasy,"The truth will set you free, or destroy you."
S00096,TV Show,Future Game,Sakura Wang,"Kimberly Lewis, Steven Khan, George Shah",Czech Republic,2023-04-29,2022,TV-G,3 Seasons,Legal Drama,A gripping tale of survival and redemption.
S00097,TV Show,The Search Day,Melissa Wagner,"Ana Singh, Valentina Silva, Akira Hernandez, Brian Santos",Israel,2020-06-10,2021,TV-PG,7 Seasons,Romance,"The truth will set you free, or destroy you."
S00098,TV Show,Fight Island,Carlos Liu,"Thomas Kang, Carlos Gupta, Kevin Hernandez, Astrid Schmidt",India,2023-10-24,2023,TV-Y,5 Seasons,Noir,"Power corrupts, but some fight to stay pure."
S00099,Movie,Ancient Sunrises,Donna Singh,"Patricia Taylor, Wei Harris, Daniel Liu, Donald Zhang, Linda Clark",United States,2020-06-19,2019,PG,170 min,Crime Drama,The line between right and wrong becomes blurred.
S00100,TV Show,The Hope Sunsets,Mark Weber,"Daniel Mueller, Erik Singh, Carol Cho, Valentina Santos, Sandra Meyer",United Kingdom,2024-05-10,2018,TV-PG,5 Seasons,Medical Drama,"In a world of chaos, heroes emerge from unlikely places."
S00101,TV Show,Spirit Fear,Erik Takahashi,"Ana Chen, Edward Park, David Walker",France,2022-02-22,2024,TV-MA,1 Season,Teen Drama,An unexpected journey changes everything.
S00102,Movie,The Bridge Strangers,Priya Huang,"Betty Reddy, Chen Kim, Dorothy Huang, Hiro Zhao",United States,2024-08-27,2019,G,129 min,Drama,A race against time to save what matters most.
S00103,Movie,Final Stories,Akira Ito,"Yuki Weber, Astrid Yoon, Omar Thomas, David Liu",Australia,2023-01-09,2020,NC-17,99 min,Political Thriller,Nothing is as it seems in this twisted thriller.
S00104,TV Show,The Empire Lost,Amanda Brown,"Brian Fischer, Joseph Wagner, Dorothy Cho",Canada,2023-07-17,2019,TV-MA,3 Seasons,Documentary,"In the end, love conquers all."
S00105,TV Show,Battle Ancient,Melissa Smith,"Betty Reddy, Sofia Martinez, Hiro Jones, Sandra Rodriguez, Akira Liu",United States,2020-08-25,2024,TV-14,1 Season,Romance,"Power corrupts, but some fight to stay pure."
S00106,TV Show,The Deadly Perfect,Elizabeth Clark,"Deborah Harris, Min Yoon, George Hernandez, Juan Watanabe, Akira Suzuki",Brazil,2022-07-31,2018,TV-Y7,2 Seasons,Sports Drama,"In a world of chaos, heroes emerge from unlikely places."
S00107,Movie,Red Bridge,Carlos Gonzalez,"Priya Singh, Sofia Young, Linda Tanaka, Carlos Jones, Wei Fischer",India,2024-06-17,2021,NC-17,104 min,Romance,"In the end, love conquers all."
S00108,TV Show,Throne Lions,Margaret Martin,"Priya Meyer, Kimberly Anderson, Lisa Gonzalez, Brian Mueller",Japan,2020-10-09,2022,TV-PG,1 Season,Musical Drama,"In the end, love conquers all."
S00109,TV Show,The Secret Sunrises,Pedro Zhang,"William Young, Kevin Mueller, Robert Becker, George Robinson, Elizabeth Costa",Germany,2024-05-17,2022,TV-14,5 Seasons,Psychological Thriller,The past comes back to haunt the present.
S00110,TV Show,The Deadly Hidden,Wei Meyer,"Matthew Young, Kimberly Ito, Miguel Chen, Betty Robinson, George Nakamura",Philippines,2024-08-01,2022,TV-Y7,5 Seasons,Historical Drama,A gripping tale of survival and redemption.
S00111,TV Show,Sky Flames,John Mueller,"William Sharma, Patricia Cho, Steven Reddy, Carol Jung, Juan Lee",United States,2023-10-09,2018,TV-14,2 Seasons,Romance,"In a world of chaos, heroes emerge from unlikely places."
S00112,TV Show,The Road Hunters,Amanda Santos,"Dorothy Lee, Sakura White, Lars Johnson, Ahmed Sharma",United Kingdom,2022-11-02,2022,TV-Y7,1 Season,Mystery,An epic story of courage and sacrifice.
S00113,Movie,Blood Truth,Patricia Perez,"Isabella Clark, Jessica Walker, Carol Zhang, Donald Fernandez, Matthew Ito",United Kingdom,2020-12-15,2022,PG-13,92 min,Fantasy,The past comes back to haunt the present.
S00114,TV Show,The Deadly Brothers,Anthony Nakamura,"Donna Rodriguez, Margaret Moore, Melissa Lee, Isabella Silva",Australia,2020-04-24,2019,TV-PG,1 Season,Documentary,A gripping tale of survival and redemption.
S00115,TV Show,The Modern Years,Li Mueller,"Kenneth Williams, Omar Cho, Dorothy Zhang, Wei Fischer",Australia,2020-10-05,2020,TV-Y,5 Seasons,Drama,"When the stakes are high, who can you trust?"
S00116,TV Show,The Ocean Myths,Ana Kim,"Jean Smith, William Hernandez, Omar Ito",Italy,2021-01-01,2021,TV-14,4 Seasons,Sci-Fi Drama,A detective uncovers a conspiracy that goes deeper than imagined.
S00117,TV Show,The Past Births,George Young,"Elizabeth Kang, Emily Reddy, Pedro Jackson, Joseph Cho",France,2020-08-07,2024,TV-MA,6 Seasons,Action & Adventure,The past comes back to haunt the present.
S00118,Movie,Light Silent,Hiro Martinez,"Pierre Moore, Anthony Wang, Astrid Garcia, Daniel Smith, Camila Hernandez",France,2022-06-20,2019,PG,88 min,Comedy,A gripping tale of survival and redemption.
S00119,TV Show,Nightmare Past,Aisha Lopez,"Raj Thompson, Ingrid Jung, Elizabeth Davis, Sarah Fischer",United States,2022-06-02,2023,TV-G,4 Seasons,Psychological Thriller,A gripping tale of survival and redemption.
S00120,Movie,The Heart Demons,Betty Silva,"Betty Costa, Ana Robinson, Li Ramirez, Nancy Shah, Astrid Khan",Spain,2020-11-15,2020,PG-13,106 min,Western,"In a world of chaos, heroes emerge from unlikely places."
S00121,TV Show,Water Angels,Anthony White,"Richard Fernandez, Ingrid Liu, Sofia Takahashi, Ahmed Wu, Amanda Robinson",Australia,2022-02-24,2022,TV-14,8 Seasons,Thriller,The search for identity leads to unexpected discoveries.
S00122,TV Show,The Rising Lies,Pierre Tanaka,"Kenneth Anderson, Steven Thompson, Kevin Lee, Nancy Thompson",Mexico,2023-11-24,2021,TV-G,4 Seasons,Adventure,A family's dark secrets are finally revealed.
S00123,Movie,The White Mysteries,Juan Takahashi,"Nancy Fernandez, Ahmed Liu, Jennifer Thomas, Li Weber, Donald Costa",Spain,2022-07-04,2023,PG,140 min,Action & Adventure,An unexpected journey changes everything.
S00124,TV Show,The Game Waters,Joseph Williams,"Joshua Ito, Sophie Santos, George Davis",Canada,2023-12-28,2019,TV-Y,5 Seasons,Teen Drama,An epic story of courage and sacrifice.
S00125,TV Show,The Spirit Secrets,William Singh,"Paul Robinson, Ingrid Liu, Omar Suzuki, Mark Santos",Japan,2022-03-08,2023,TV-14,7 Seasons,Medical Drama,"Power corrupts, but some fight to stay pure."
S00126,Movie,The Empire Births,Lars Lewis,"Valentina Yoon, Donald Sharma, Erik Perez, David Fischer",Norway,2021-10-19,2023,PG-13,105 min,Adventure,The search for identity leads to unexpected discoveries.
S00127,TV Show,The Deadly Ends,Ingrid Smith,"John Gupta, Steven Lewis, Li Jung, Edward Silva, John Lee",Canada,2020-02-18,2023,TV-Y7,4 Seasons,Crime Drama,"Power corrupts, but some fight to stay pure."
S00128,TV Show,The Search Centers,Hiro Yamamoto,"Sofia Thomas, George Fischer, Raj Lee, Fatima Wagner",United States,2021-03-04,2023,TV-PG,3 Seasons,Medical Drama,A gripping tale of survival and redemption.
S00129,Movie,Deadly Eagles,Isabella Ito,"Deepika Mueller, Matthew Nakamura, Joshua Silva, Erik Jackson",United States,2021-12-03,2018,PG,137 min,Fantasy,Two worlds collide with devastating consequences.
S00130,TV Show,The Night Truth,Jean Johnson,"Thomas Lee, Priya Santos, Amanda Jung",United Kingdom,2024-06-25,2021,TV-MA,8 Seasons,Political Thriller,The search for identity leads to unexpected discoveries.
S00131,TV Show,The Secret Golden,Elizabeth Clark,"Andrew Taylor, Marie Liu, Astrid Clark",Spain,2020-10-25,2020,TV-PG,2 Seasons,Fantasy,A race against time to save what matters most.
